review_id,game,aspect,review_text,llm_zeroshot,llm_fewshot,human_label_B
1.0915E+15,Cyberpunk 2077,combat,"I've heard great things about the game. Wanted to like it. Put in the time, thought that it would get better, but no. Everything's somewhat floaty. Guns don't feel like they have predictable patterns, moving feels like you're 300 pounds. The driving is painful, the cars are not responsive at all and all of them are slow. 150 kph does not feel like 150kph as well. The storyline is a lot of dialogue that failed to grab me. Can't skip all of it. It released in 2020. Yet controls/combat feel worse than games released in the 90's. Overall? 5/10. Can't even push myself to finish it.","['controls', 'combat', 'story']","['combat', 'controls', 'story']","[""combat"", ""controls"", ""story""]"
1.0915E+15,Cyberpunk 2077,combat,"Great narrative that pulls you in quick, but its the world that really keeps you engaged. Very immersive and filled with consequences. Gameplay is very tight and responsive.","['story', 'controls']","['story', 'controls']","[""story"", ""graphics"", ""combat"", ""controls""]"
1.0915E+15,Cyberpunk 2077,combat,"hot garbage. do not recommend combat is ass. weapons feel like ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ story is boring af. 0 optimization city is a ghostwon nothing to do driving is ass, cars are a ractangle on wheels with 0 physics police does not exist level scaling is useless half the builds are bland and borin need to mod the ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½","['combat', 'story', 'graphics', 'controls']","['combat', 'story', 'graphics', 'controls']","[""combat"", ""story"", ""graphics"", ""controls""]"
1.0915E+15,Cyberpunk 2077,combat,"Ultimately, everything you do in the game does not matter. There is a conversation you have in the main story about not being able to choose your fate in Night City, as it chooses for you. To include, stealth and non-lethal weapons do not add value or impact the end goal. The side quests allow final dialogue that mostly reveal Vï¿½ï¿½ï¿½s poor communication skills by keeping everyone in the dark. In a dark city full of punks, Viktor Vektor truly was a god among them and deserved better. Viktor Vektor is actually one of the living legends of Night City. Viktor Vektor is the only reason there was a story to tell. The story is not well-written. The story does not make the world feel alive; V does not have time to sit at a dinner or modify cars, which the game does not feature, regardless. Some bugs can soft-lock your character interactions, preventing progress. Vï¿½ï¿½ï¿½s dialogue options inaccurately or indirectly represent the word selections. None of these words, nor any other endings, were V. V wanted to bend only one ending is V.","['story', 'controls']",['story'],"[""story"", ""graphics""]"
1.0915E+15,Cyberpunk 2077,combat,Took me a couple of attempts to get into it but there is a solid game here. I liked the story but it does cause the first couple of hours to feel like a game on rails. Once you get past this you can ignore the main story if you like. I do recomend completing it at least once. 8/10,['story'],['story'],"[""story""]"
1.0915E+15,Cyberpunk 2077,combat,"My name starts with 'V' so I already knew I was gonna love this game. Night City is THE best city ever created for a Game, so much character, and the gameplay and combat of Cyberpunk 2077 does a great job to distract you from the fact that how dark and depressing the storyline of this game is by providing so much fun with the variety of ways you can kill/slice/blowup dudes or complete every mission. 10 out of 10 game honestly.","['combat', 'story']","['story', 'combat']","[""story"", ""combat""]"
1.0915E+15,Cyberpunk 2077,combat,"Of course I enjoyed CP2077, but I almost want to give it a negative rating to emphasize why I think it's merely a ""really good"" game as opposed to an ""incredible"" one. The storyline was a highlight (compelling and with choices that mattered), but there is very little mechanically in the game that hasn't been done before: GTA4/5 defined the standard for open worlds decades ago, and any mainline RPG has similar depth for character choices, skill trees, progression etc. So, does CP2077 differentiate with an immersive world that is truly novel? For me, not really. The map is expansive with some incredible artwork, but can feel samey within any given district. The characters, while memorable, are ultimately formulaic. The voice acting was surprisingly lacking in places (male V sounds like he's reading out instructions for a dishwasher). Towards the latter stages of the game, the combat starts to feel mundane due to a lack of enemy diversity. Despite playing with the latest patch (April 2026), the game is still super buggy: floating world items, stuttering animations, glitching quests, CTDs (all of which are perhaps to be expected for a game of this scale, but still no less annoying). I enjoyed my play-through, but don't see a reason to replay any time soon!","['story', 'graphics', 'combat', 'controls']","['story', 'graphics', 'combat', 'controls']","[""story"", ""graphics"", ""combat""]"
1.0915E+15,Cyberpunk 2077,combat,This game has been improved a lot from launch and now it feel wonderful from combat to how the whole world is desinged in an cyber apocalyptic universe. I am running this game in with an 4GB Vram card yet it performs well with around 60fps with the low settings and DLSS set to balanced. But the only big con I still feel that the NPC interaction could have been more better in the base game like the phantom liberty DLC.,"['combat', 'graphics', 'controls']","['combat', 'graphics', 'story']","[""combat"", ""graphics""]"
1.0915E+15,Cyberpunk 2077,combat,"This is one of the best RPG games I've ever played. It's very immersive and I feel like I'm living again in the game. I highly recommend this game to anyone with a decent computer configuration. My computer configuration is too low, playing Kaka, but it does not prevent me from experiencing the difference between the game characters and the social background in the process of playing. I really hope to play the next game soon. When I change to a better configuration, I must revisit the old place. I strongly recommend playing.is an amazing game.","['story', 'graphics']","['story', 'graphics']",[]
1.0915E+15,Cyberpunk 2077,combat,"This game is straight preem, no question. The city feels alive, choomï¿½ï¿½ï¿½like every streetï¿½ï¿½ï¿½s got its own story running in the background. Combatï¿½ï¿½ï¿½s smooth, builds are flexible, and when everything clicks, you feel like a t","['combat', 'graphics']","['combat', 'graphics', 'story']","[""combat""]"
1.0915E+15,Cyberpunk 2077,combat,"heart-wrenching story with a lot of twists and turns. i am absolutely thrilled with the combat, the side quests, and, of course, the main story (including phantom liberty). it is also quite difficult not to be drawn to the graphics and the atmosphere of the locations, which one could admire for hours straight. p.s.: still pissed that i didn`t get one achievement i totally deserved. apparently, it wasn`t meant to be.","['story', 'combat', 'graphics']","['story', 'combat', 'graphics']","[""story"", ""combat"", ""graphics""]"
1.0915E+15,Cyberpunk 2077,combat,"Cyberpunk's a good game for the most part; it's definitely fun. While it does have more than a few bugs, most of them are just immersion-breaking rather than game-breaking. Only once did I have to reload a save to fix a bug that wouldn't let me progress. The game itself is just okay in my opinion. Combat is weird and is either trivialized with quickhacks or made very difficult if just relying on pure brute force. The crafting system isn't explained at all and I went about 10 hours without using it whatsoever. Even now I still haven't used it that much. The story is the main driver of the game, with everything I make V say seems to matter in some way. It's refreshing to have an impact on the story, where there is no illusion of choice. Overall I recommend, just not as highly as other games.","['combat', 'story', 'controls']","['combat', 'story', 'controls']","[""graphics"", ""combat"", ""story""]"
1.0915E+15,Cyberpunk 2077,combat,"Pros The game is- - very immersive (because of VFX, atmosphere and other design elements, like seeing your model in first person) - graphically very high quality - engaging in story and out of story interactions - INCREDIBLY SAD MAN WHAT IS THIS :( It tells one of the greatest stories I've seen in any media. The story interactions themselves as in what you say are actually the most difficult part of the game, rather than the combat. Making a wrong decision can lead to ruined connections or other, rather tremendous outcomes. I highly recommend playing it blind, the main part of the game is the story, knowing most of it already will make it less enjoyable. The content is very varying and plentiful, allowing pretty much anyone to do anything they could probably think of. Beating the mainstory alongside some two longer sidequests took me a total of 35 hours to complete. Cons The game requires a strong computor to run. It tends to crash at some points, which are all fixable by troubleshooting or loading 1 or 2 saves backwards from when it happened. The combat is mechanically not the most interesting and rather straight forward If you're not in the happiest of moods right now, maybe delay playing this game a bit - it can be quite unfair and sad regularly","['story', 'graphics', 'combat', 'controls']","['story', 'graphics', 'controls', 'combat']","[""graphics"", ""story"", ""combat""]"
1.0915E+15,Cyberpunk 2077,combat,"This is one of my favorite games of all time. Having played for over 800 hours on Xbox and then another 100 on Steam, its safe to say that I really enjoy this game. Night City is gorgeous and built very well (the walkable paths are surprisingly complex/diverse), and the surrounding area has tons of depth to it (hidden areas in the wasteland that are difficult to locate on repeat playthroughs). The combat is extremely smooth and diverse. Tons of gun / melee / hacking choices to utilize. All of them feel amazing. The character writing is beautiful too, Johnny Silverhand being an obvious standout. Growing closer to him (relationally and brain-meldingly) was super fun for all of my playthroughs. There is too much to compliment about on this game. Despite its rough launch (that I did experience on Xbox), this game has been a delight to play since 2024 onward. The recent updates have gone even further, and I can't recommend the game enough.","['graphics', 'combat', 'story', 'controls']","['combat', 'story', 'graphics', 'controls']","[""graphics"", ""combat"", ""story""]"
1.0915E+15,Cyberpunk 2077,combat,"The amount of easter eggs in this game blows my mind. It's not too difficult, lots of neat ways to handle things, city is enormous and detailed, always something to do. Story is pretty legit. 10/10 game for sure. They don't hide the nitty gritty of humanity, nor do they skimp on the political commentary. Totally worth it. Every last bit.","['story', 'graphics']","['story', 'graphics', 'price', 'combat']","[""story"", ""graphics"", ""price""]"
1.0915E+15,Cyberpunk 2077,combat,"I waited 6 years for the bugs to be smoothed out before playing, and they are still EVERYWHERE. It makes it difficult to be invested in an emotional scene when the character sinks half way into the ground and starts t-posing. With that being said, I am still enjoying the game. Although the story is way too convoluted, it is great. Not anywhere near the quality that I expect after playing the Witcher, but enjoyable nonetheless. 6.5/10","['graphics', 'story']","['graphics', 'story']","[""graphics"", ""story""]"
1.0915E+15,Cyberpunk 2077,combat,"Its really fun, the core gameplay loop is good, the combat is fantastic (though ive only done netrunner) and the story is decently interesting, the world is also fascinating and the environments of the game are great! 8/10","['combat', 'story', 'graphics']","['combat', 'story']",
1.0915E+15,Cyberpunk 2077,combat,"The graphics are stunning, the combat system is excellent, and the storyline is top-notch ï¿½ï¿½ï¿½ it's absolutely worth every ","['graphics', 'combat', 'story', 'price']","['graphics', 'combat', 'story', 'price']",
1.0915E+15,Cyberpunk 2077,combat,The game is just walking/driving to various waypoints and watching boring cutscenes with bad writing. The city is giant and mostly empty and lifeless. the combat is very repetitive.,"['story', 'combat', 'graphics']","['story', 'graphics', 'combat']",
1.0915E+15,Cyberpunk 2077,combat,"It's difficult to define a game as ""life-changing"" but Cyberpunk might as well be. From the vibe of Night City, to the well written NPCs, to the replayability, to the ability to mod the game and make it 'yours'... it's sooooo much fun. You want to be a sniper? Go, A ninja? Sure. Bersker? Fine. A hacker? no problem. So many ways to play. I TRUELY cannot get enough. edit: Phantom Liberty is not optional. it is the best DLC I have ever played. MANDATORY. Thank you CDPROJECT RED.","['story', 'controls']","['story', 'controls']",
1.0915E+15,Cyberpunk 2077,combat,"not nearly as good as the game because of which everyone bought this (maybe its the universe, the witcher is an epic fantasy fiction while this is a depressing science fiction, but witcher 3 is better made, and there is more than that that makes this mediocre), but still decent on sale. graphics are very nice. boss fights are bad. it is just a cool shooting game with some story, but for me it lacks the atmosphere, memorability and soul. 6/10","['story', 'graphics', 'combat', 'price']","['story', 'graphics', 'combat', 'price']",
1.0915E+15,Cyberpunk 2077,combat,"It's still broken, The AI is poor and can get stuck on corpses or walls, making boss fights Trivial. The AI driving cars hardly reacts to you. the Police AI will lose interest in hunting you down even if they see you in some instances. It Also doesn't have any meaningful RPG mechanics, it feels more like skyrim with guns. People who claim this game is fixed are the same people who buy skyrim everytime it re-releases thus driving down the quality of the games industry. A 30$ DLC should've been a nail in a coffin for this game after all it's BS.","['combat', 'price']","['combat', 'story', 'price']",
1.0915E+15,Cyberpunk 2077,combat,"It was okay, don't get me wrong I did have fun but I don't like is johnny, his character and story line is so boring. He reads his entire dialog in one tone so its easy to zone him out or straight up skip any scene hes in. I hate that you have to wait in game time for character to do recon or to start one. In between missions are boring but the missions with anything related to johnny sucks, In my personal opinion the game could have ended a lot sooner when jackie died or when we got shot and landed up in the junkyard.... also feel like its over hyped a bit, it was fun but in bits after you go through the boring bits. Most of fights even the boss battles was boring dont know how you can mess up combat...","['story', 'combat']","['story', 'combat']",
1.0915E+15,Cyberpunk 2077,combat,"I just finished a character I spent 30 hours bonding with die after doing a hell of a run with him. I won't spoil it. but damn, this game does story telling well. And it doesn't shy away from very -very- dark story elements. As in, I didn't have the nudity filter on when I went to meet (Spoilers) for a job interview in a seedy bar, and was distracted by actual holographic strippers between us while the client was laying out the details of the mission she wanted done. While I made what I call a ""US Marine"" character, which is to say I loaded up with machine guns, shotguns, heavy cyber armor and such, and my usual response is to kick in doors and go guns blazing, the game makes it perfectly easy to do the same missions, and even cyberpsycho boss fights a matter of stealth and hacking, or diplomacy (with the acception of the cyberpsycho fights) Even generalist builds are possible if you build yourself out right.","['story', 'combat', 'controls']","['story', 'combat', 'controls']",
1.0915E+15,Cyberpunk 2077,combat,"Starting with the graphics and music, everything is very good, but not breathtaking, except for Johnny Silverhand, of course. The gameplay is a lot of fun. My V was a gunslinger/stealth/hitman, a sort of hybrid between Agent 47 and the Ghoul from Fallout, and it was very effective and entertaining to play. I loved the variety of approaches you can take for all the gigs, even for cyberpsycho fights. You are rarely forced to a face to face boss fight. With the right cyberware your mobility is enhanced and it's even more fun. Characters are excellently written, even if the main plot is not that great with the stereotypical 'big corporations are bad' clichï¿½ï¿½. About the bad things: the driving system is quite bad, and there are a couple of very annoying and badly conceived quests, like 'Sinnerman'. But, in the end, this is a game everyone should ","['graphics', 'story', 'combat', 'controls']","['graphics', 'story', 'controls']",
1.0915E+15,Cyberpunk 2077,combat,"Bought it a while back and didn't play it till after purchased Phantom Liberty so probably have a different perspective than those who played it when it released. Great game, lots of choice on how you go about things and the decisions you make. Can focus on melee, guns, cyber attacks or combinations of those. A lot of variety of play available. Story is great and really hits the feels. Due to not playing the game till long after it was released there are very few bugs. Only significant bug I encountered is in one boss fight the boss got stuck in the air and couldn't move so made the fight laughable. Also the atmosphere in the game is great with all the little things happening around you plus all the little secret locations and happenings which is great for replayability just like Balders Gate 3.","['combat', 'story', 'controls']","['combat', 'story', 'graphics']",
1.0915E+15,Cyberpunk 2077,combat,"What an experience... Stunning visuals, unforgettable story and well-thought combat system. Thanks CDPR for this masterpiece. Just one thing - got almost all the bosses with glitches. Not sure if thats my system or the game, but nothing critical to me. Still the hardest boss for me was an elevator (how can you even press its buttons using gamepad?).","['graphics', 'story', 'combat', 'controls']","['graphics', 'story', 'combat', 'controls']",
1.0915E+15,Cyberpunk 2077,combat,The game play is great as is the video. The 'Boss' fights are challenging. It is necessary to choose the correct cyberware that suits your style of play or else you will struggle against strong adversaries. All in all an enjoyable experience.,"['combat', 'graphics']","['combat', 'graphics']",
1.0915E+15,Cyberpunk 2077,combat,"Under all the fancy abilities and weapons, behind all the slick kills and fights, the game always reminds you that there are no happy endings in Night city. I think the message is you can choose who you want to be and how your story ends even in a cruel and heartless world, and I'm sure countless other reviews can iterate far better than I can. My one complaint is that although I understand the message, a part of me is far too idealistic and prideful to accept the game without a NG+. My one regret will forever be the fact that I cannot save Jackie in NG+ and flatline Adam the first time we meet. That is not the point of Cyberpunk 2077, but that is how my ideal goes into that world.",['story'],['story'],
1.0915E+15,Cyberpunk 2077,combat,"Genuinely one of the greatest RPGs I've ever played. Bugs are a non-issue, main story and side quests are fantastic. Edit: Just finished Edgerunners. I gotta go ""talk"" to a certain final boss.","['story', 'combat']",['story'],
1.0915E+15,Cyberpunk 2077,story,"Best RPG ever made in my opinion,the story is engaging,the characters are well developed,the gameplay is FUN,one of my favorite games of all time.",['story'],"['story', 'combat']",
1.0915E+15,Cyberpunk 2077,story,Kudos to the devs. I've only encountered one visual bug on PC in my playthrough. Story is engaging and the sights are aplenty.,"['graphics', 'story']","['graphics', 'story']",
1.0915E+15,Cyberpunk 2077,story,"This game is incredibly made well. the story is pretty engaging, the only thing i really want is more diversity with the 3 different start points. if you like GTA and have a weird urge to have sex with robots while bending time with a chip this game is for you. also the game runs really nicely and is very well optimized","['story', 'graphics']","['story', 'graphics']",
1.0915E+15,Cyberpunk 2077,story,"This is hands down my favorite modern RPG. The world is simply incredible. Walking along the busy streets of night city carries a feeling like no other. The story is engaging, the gun play is smooth, and the hacking provides a rush of power! CDPR has gone through it to make this game what it is today and deserve every bit of kudos for what they've achieved here.","['story', 'graphics', 'combat']","['story', 'graphics', 'combat']",
1.0915E+15,Cyberpunk 2077,story,"Cyberpunk 2077 is honestly one of the best RPGs Iï¿½ï¿½ï¿½ve played. Night City looks amazing, the story is emotional and engaging, and the characters are unforgettable. The gameplay gives you a lot of freedom with different playstyles, and the updates made the game much better. Definitely worth playing if you enjoy open-world RPGs and futuristic set","['story', 'graphics']","['story', 'graphics']",
1.0915E+15,Cyberpunk 2077,story,"you need to invest a bit of time to set up your character, and it's worth doing the tutorials. But the story line is engaging, side missions great for boosting XP, eddies and adding interest.","['story', 'controls']","['story', 'controls']",
1.0915E+15,Cyberpunk 2077,story,Really really good game. The environment and story is engaging and really beautiful and it runs really well on my laptop on high-ultra graphics. Recommended,"['graphics', 'story']","['story', 'graphics']",
1.0915E+15,Cyberpunk 2077,story,One of the best RPGs I have ever played. Do yourself a favor and play Cyberpunk 2077 and get the expansion: Phantom Liberty. I'd argue that the DLC's story is far more engaging and interesting than the main plot. The only downside is I cannot romance the French girl or even Songbird. But you still have Panam and Keanu as your imaginary friend. 10/10,['story'],['story'],
1.0915E+15,Cyberpunk 2077,story,"Very engaging, extremely elaborate lore, enormous amounts of content, limitless customisation of your character and their personality, wide choice of replies to dialogues which genuinely influence the story and the ending. The characters have a deep psychology, their motives and emotion, which we can often choose to accept or criticise. Game's ambience is also top notch, and the atmosphere of the world of the future is great.",['story'],['story'],
1.0915E+15,Cyberpunk 2077,story,"After 100%, I can say this game has incredible atmosphere and combat. The dialogue is well thought out and the story is engaging (though the DLC is better in my opinion). Quickly become one of my favourite games of all time. Game got a little grindy when going for all the achievements due to the high volume of NCPD gigs but for a casual playthrough it wouldn't be an issue at all. Highly recommend.","['combat', 'story']","['combat', 'story', 'price']",
1.0915E+15,Cyberpunk 2077,story,"The game is so good it's got me playing it more than once, even during version 1.0 on the PS4. I never doubted this game. Night City makes me question if it's really a place you should leave behind when you really can't, with how addicting neon lights can be over you. I'm writing this review because 2020 reminded me how I grinded the hell out this game.",[],[],
1.0915E+15,Cyberpunk 2077,story,"One of the best games I've played. Incredibly good story writing. Thoroughful open world, the best graphics of any game I've ever played. Devs have paid attention to detail and everything is very coherent, you're able to make your own decisions and there seems to be endless possibilities to how you play the game with your own combat preferences based on what you want to level up and what cyberware you use. Arguably the best open world of all time.","['story', 'graphics', 'combat']","['story', 'graphics', 'combat']",
1.0915E+15,Cyberpunk 2077,story,one of the best games ive ever played graphics are stunning. the story writing is amazing and the characters are even better. johnny silverhand is the goat,"['graphics', 'story']","['graphics', 'story']",
1.0915E+15,Cyberpunk 2077,story,The game is just walking/driving to various waypoints and watching boring cutscenes with bad writing. The city is giant and mostly empty and lifeless. the combat is very repetitive.,"['story', 'combat', 'graphics']","['story', 'graphics', 'combat']",
1.0915E+15,Cyberpunk 2077,story,"The game is not what it was when it was released, Its now well polished and has more features than ever. BUT the most important thing is the writing. The story in both the main game and the DLC is incredible and problably among the best of the best. Combinding this with stellar graphics and good preformance (played the game on my old 2060 super) i cannot recomend this game enough. P.s The gunplay and RPG elements are alright but now a main selling point.","['story', 'graphics', 'combat']","['story', 'graphics', 'controls']",
1.0915E+15,Cyberpunk 2077,story,"5 years ago, I didn't really have an fun time with the game. Dropped it midway without any real reason. I gave it a new chance in big 2026, and wow, how much did I miss. The lore behind Night City really is something else. The messages behind the universe are strong, the characters' writing is on point. And I was really surprised by Phantom Liberty, where everything seems to ba a choice, one way or another. The game is not for everyone, but if you let Night City speak and want to listen what it has to say, you're in for a wild trip.",['story'],['story'],
1.0915E+15,Cyberpunk 2077,story,"This is a very good game, took me by suprise how well the story is not sure if the RPG have enough choises, buts eather way its a good game",['story'],['story'],
1.0915E+15,Cyberpunk 2077,story,"This is one of the very few games where the visuals put it over the top for me. I don't love the combat or traversal, and the writing is fine, but Night City is just so good-looking. In fact, I started the game on a less powerful rig and just couldn't get into it; I got a slightly better laptop that runs Cyberpunk on high settings with ray tracing, and now I'm hooked. Still, for such a visual game, the character animations can be pretty cringy.","['graphics', 'combat', 'story']","['graphics', 'combat', 'story']",
1.0915E+15,Cyberpunk 2077,story,"Firstly, it's a perfectly fine game. In fact, I'm planning on doing a second playthrough. So why the downvote? Because in order to roleplay a character effectively in this game, you kinda need to know who V is first. V very much feels like a predetermined character that can go down a few different paths. For me, that worsened my first playthrough a LOT. If that's not a concern for you, then I Recommend the game. The writing is good, the level-up options are good, the gameplay is slightly better than par for the genre. Get it for $35 or less.","['story', 'price']","['story', 'price']",
1.0915E+15,Cyberpunk 2077,story,"I've had this game laying around in my library for some time now and I've been playing it on and off ever since. The writing and the gameplay always managed to captivate me in more ways than I could imagine. It is one of its strongest points I'd argue and the amazing voice acting just adds onto that. I finally got around finishing it and... there are no words to describe how empty I felt afterwards. In a good way I suppose. It made me fall in love with the game even more. So, to anyone who's thinking of giving it a try, I highly recommend it.","['story', 'controls']","['story', 'controls']",
1.0915E+15,Cyberpunk 2077,story,"Disregard the bugs from when the game launched, they don't exist anymore, the game as it is NOW is fantastic, the story is solid, the characters are memorable, the game is a rock solid hit.",['story'],['story'],
1.0915E+15,Cyberpunk 2077,story,"Man insane work!what a gameee!!! Undoubtedly one of the most visually impressive open world.The city is so alive, characters are memorable.After all the updates,this game finally feels like the masterpiece it was meant to be!Crazy work by the devs..","['graphics', 'story']","['graphics', 'story']",
1.0915E+15,Cyberpunk 2077,story,"A masterpiece. The storytelling is phenomenal. The characters are distinct and memorable. Movement and combat are fluid and engaging. Character customization options are significant, allowing for different specs to be equally fun to play. The graphics are excellent. Night City and the surrounding areas are detailed and immersive. Choices have consequences. Finally, lots of vehicles and clothing options to buy and discover. A truly remarkable creation.","['story', 'combat', 'graphics', 'controls']","['story', 'combat', 'graphics', 'controls']",
